"Method","tau","n","p","seed","beta0","beta1","beta2"
"two_step_LS",0.9,1000,2,167,3.37973744516305,-4.07390475684149,-3.21284799580317
"mRock",0.9,1000,2,167,-0.268797186024473,-0.0368517639533734,-5.55921518321141
"two_step_Neyman",0.9,1000,2,168,-1.54927753773435,-1.65524453753996,5.11683235909209
"two_step_LS",0.9,1000,2,168,-1.97572447593864,-1.02204624334196,4.98098249075161
"mRock",0.9,1000,2,168,-0.597317180900382,0.0340996774188196,-0.484293785190417
"two_step_Neyman",0.9,1000,2,169,23.2760176936883,-8.17120150975145,-16.0086880405488
"two_step_LS",0.9,1000,2,169,15.703540809226,-5.09271007589534,-11.6382563566916
"mRock",0.9,1000,2,169,1.21655009044431,-0.427979768241952,-5.16362213653065
"two_step_Neyman",0.9,1000,2,17,-3.27824896621638,0.501187075788098,2.82248706716481
"two_step_LS",0.9,1000,2,17,-0.243640380174338,1.37725181366743,-1.0310793998528
"mRock",0.9,1000,2,17,-0.51596771353613,0.181238158623506,-1.89905126552048
"two_step_Neyman",0.9,1000,2,170,-5.59337764064944,3.47941487239904,10.1771966932748
"two_step_LS",0.9,1000,2,170,-4.17092147776822,2.01097297669974,10.5288365372136
"mRock",0.9,1000,2,170,-0.768134525939358,1.11646357854469,6.41760390390817
"two_step_Neyman",0.9,1000,2,171,11.2799499340553,-10.1178814690429,1.87249832320545
"two_step_LS",0.9,1000,2,171,5.50556674215131,-4.15322111927412,1.65882861837751
"mRock",0.9,1000,2,171,1.41461292822706,-1.40130146255114,0.195629320139332
"two_step_Neyman",0.9,1000,2,172,-21.2402019851603,13.6374995812697,3.29541646637774
"two_step_LS",0.9,1000,2,172,-7.28309369199144,7.7834829594447,-5.0945790197802
"mRock",0.9,1000,2,172,-0.883905263701132,0.938278529421388,-5.9376570279874
"two_step_Neyman",0.9,1000,2,173,-2.41136368285038,1.87449830533025,-1.05065759299907
"two_step_LS",0.9,1000,2,173,1.09792166834103,-0.221556794827647,-2.551851497916
"mRock",0.9,1000,2,173,-0.496486225220652,0.422299013273892,-3.26552995228892
"two_step_Neyman",0.9,1000,2,174,-3.35287979159178,2.3495971912788,0.784892616048168
"two_step_LS",0.9,1000,2,174,0.394290561880788,-0.903494603506362,0.604416595462069
"mRock",0.9,1000,2,174,-0.0294608794213165,0.225816234778267,-2.01046054958603
"two_step_Neyman",0.9,1000,2,175,3.29934099460663,-12.1085267360465,9.32925169829403
"two_step_LS",0.9,1000,2,175,1.31496787611167,-6.23719173645584,5.62719065172205
"mRock",0.9,1000,2,175,1.8297990961419,-1.97416270139882,-3.1264145245967
"two_step_Neyman",0.9,1000,2,176,-1.9946749297657,3.91860378886472,-1.9215957364965
"two_step_LS",0.9,1000,2,176,-1.91075879386355,4.11942980449743,-2.10263658144497
"mRock",0.9,1000,2,176,-0.798644510561983,1.02655162867038,-1.6207486875989
"two_step_Neyman",0.9,1000,2,177,-3.22994007333971,5.53395469147628,-2.85366610309892
"two_step_LS",0.9,1000,2,177,1.64148967409431,-0.326981337749987,-1.4473590632408
"mRock",0.9,1000,2,177,-1.03680949783662,0.812438519696512,-1.80259635156175
"two_step_Neyman",0.9,1000,2,178,11.6658263146365,-8.84439629466664,-1.9635443554904
"two_step_LS",0.9,1000,2,178,1.96415852280072,-4.43780888102634,3.00054871055451
